marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,6628,1275000,Ankara,data/processed_images/car_20250130_130038_page_30_idx_5.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,15426,1250000,Kayseri,data/processed_images/car_20250130_130038_page_30_idx_6.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,6001,1249900,İstanbul,data/processed_images/car_20250130_130038_page_30_idx_7.jpg
Volkswagen,Golf,1.0 Tsi 110Ps Impression,Volkswagen Golf 1.0 Tsi 110ps Impression,2023,14990,1225000,Adana,data/processed_images/car_20250130_130038_page_30_idx_8.jpg
Volkswagen,Caddy,2.0 Tdi 122 Ps Life Dsg,Volkswagen Caddy 2.0 Tdi 122 Ps Life Dsg,2023,49925,1220000,İstanbul,data/processed_images/car_20250130_130038_page_30_idx_9.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,27253,1219500,İzmir,data/processed_images/car_20250130_130038_page_30_idx_10.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,28024,1219500,Çanakkale,data/processed_images/car_20250130_130038_page_30_idx_11.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,49523,1218000,Ankara,data/processed_images/car_20250130_130041_page_31_idx_0.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,23690,1215000,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_1.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,31584,1210000,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_2.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,36983,1205000,Ankara,data/processed_images/car_20250130_130041_page_31_idx_3.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,15470,1205000,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_4.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,27450,1200000,Ankara,data/processed_images/car_20250130_130041_page_31_idx_5.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,40814,1199500,İzmir,data/processed_images/car_20250130_130041_page_31_idx_6.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,39933,1199500,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_7.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,31925,1190000,Konya,data/processed_images/car_20250130_130041_page_31_idx_8.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,37625,1189500,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_9.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,26824,1185000,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_10.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,26651,1185000,İstanbul,data/processed_images/car_20250130_130041_page_31_idx_11.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Man,Volkswagen Polo 1.0 Tsi 95 Ps Life Man,2023,33043,1148000,Ankara,data/processed_images/car_20250130_130043_page_32_idx_0.jpg
Volkswagen,T-Cross,1.0 Tsi 110Ps Life,Volkswagen T-cross 1.0 Tsi 110ps Life,2023,30290,1135750,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_1.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,36372,1129000,İzmir,data/processed_images/car_20250130_130043_page_32_idx_2.jpg
Volkswagen,T-Cross,1.0 Tsi 110Ps Life,Volkswagen T-cross 1.0 Tsi 110ps Life,2023,30294,1115000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_3.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Man,Volkswagen Polo 1.0 Tsi 95 Ps Life Man,2023,21105,995000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_4.jpg
Volkswagen,Polo,1.0 80 Ps Impression Man,Volkswagen Polo 1.0 80 Ps Impression Man,2023,22193,940000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_5.jpg
Toyota,Corolla,Hybrid Flame X-Pack E-Cvt,Toyota Corolla Hybrid Flame X-pack E-cvt,2023,29671,1498500,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_6.jpg
Toyota,Corolla,1.5 Passion X-Pack Multidrive S,Toyota Corolla 1.5 Passion X-pack Multidrive S,2023,39274,1485000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_7.jpg
Toyota,Corolla,Hybrid Dream E-Cvt,Toyota Corolla Hybrid Dream E-cvt,2023,22900,1450000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_8.jpg
Toyota,Corolla,Hybrid Dream E-Cvt,Toyota Corolla Hybrid Dream E-cvt,2023,54808,1370000,İstanbul,data/processed_images/car_20250130_130043_page_32_idx_9.jpg
Toyota,Corolla,1.5 Dream X-Pack Multidrive S,Toyota Corolla 1.5 Dream X-pack Multidrive S,2023,20125,1369500,Çanakkale,data/processed_images/car_20250130_130043_page_32_idx_10.jpg
Toyota,Corolla,1.5 Dream Multidrive S,Toyota Corolla 1.5 Dream Multidrive S,2023,12789,1360000,Kayseri,data/processed_images/car_20250130_130043_page_32_idx_11.jpg
Toyota,Corolla,1.5 Dream Multidrive S,Toyota Corolla 1.5 Dream Multidrive S,2023,24416,1355000,Kayseri,data/processed_images/car_20250130_130044_page_33_idx_0.jpg
